field,value,alias,spec
Event.type,Training - face to face,training - face to face,Training - face to face
Event.type,Training - e-learning,training - e-learning,Training - elearning
Event.type,Training - blended,training - blended,Training - blended
Event.type,Knowledge Exchange Workshop,knowledge exchange workshop,Knowledge exchange workshop
Event.type,Hackathon,hackathon,Hackathon
Event.funding,ELIXIR Converge,elixir converge,
Event.funding,EOSC Life,eosc life,
Event.funding,EXCELERATE,excelerate,EXCELERATE
Event.funding,ELIXIR Implementation Study,elixir implementation study,ELIXIR Implementation Study
Event.funding,ELIXIR Community / Use case,elixir community / use case,ELIXIR Community/ Use Case
Event.funding,ELIXIR Node,elixir node,ELIXIR Node
Event.funding,ELIXIR Hub,elixir hub,ELIXIR Hub
Event.funding,ELIXIR Platform,elixir platform,ELIXIR Platform
Event.funding,Non-ELIXIR / Non-EXCELERATE Funds,non-elixir / non-excelerate funds,Non-ELIXIR/ Non-EXCELERATE funds
Event.target_audience,Academia/ Research Institution,academia / research institution,Academia/ Research Institution
Event.target_audience,Industry,industry,Industry
Event.target_audience,Non-Profit Organisation,non-profit organisation,Non-Profit Organisation
Event.target_audience,Healthcare,healthcare,Healthcare
Event.additional_platforms,Compute,compute,Compute
Event.additional_platforms,Data,data,Data
Event.additional_platforms,Interoperability,interoperability,Interoperability
Event.additional_platforms,Tools,tools,Tools
Event.additional_platforms,NA,na,NA
Event.communities,Human Data,human data,Human Data
Event.communities,Marine Metagenomics,marine metagenomics,Marine Metagenomics
Event.communities,Rare Diseases,rare diseases,Rare Diseases
Event.communities,Plant Sciences,plant sciences,Plant Sciences
Event.communities,Proteomics,proteomics,Proteomics
Event.communities,Metabolomics,metabolomics,Metabolomics
Event.communities,Galaxy,galaxy,Galaxy
Event.communities,NA,na,NA
Event.status,Complete,complete,Complete
Event.status,Incomplete,incomplete,Incomplete
Demographic.heard_from,TeSS,tess,TeSS
Demographic.heard_from,Host Institute Website,host institute website,Host Institute Website
Demographic.heard_from,Email,email,Email
Demographic.heard_from,Newsletter,newsletter,Newsletter
Demographic.heard_from,Colleague,colleague,Colleague
Demographic.heard_from,Internet search,internet search,Internet search
Demographic.heard_from,Other,other,Other
Demographic.employment_sector,Academia/ Research Institution,academia/ research institution,Academia/ Research Institution
Demographic.employment_sector,Industry,industry,Industry
Demographic.employment_sector,Non-Profit Organisation,non-profit organisation,Non-Profit Organisation
Demographic.employment_sector,Healthcare,healthcare,Healthcare
Demographic.employment_sector,Other,other,Other
Demographic.gender,Male,male,Male
Demographic.gender,Female,female,Female
Demographic.gender,Other,other,Other
Demographic.gender,Prefer not to say,prefer not to say,Prefer not to say
Demographic.career_stage,Undergraduate student,undergraduate student,Undergraduate student
Demographic.career_stage,Masters student,masters student,Masters student
Demographic.career_stage,PhD candidate,phd candidate,PhD candidate
Demographic.career_stage,Postdoctoral researcher,postdoctoral researcher,Postdoctoral researcher
