"#","Event code","Title","ELIXIR Node","Start date","End date","Duration","Event type","Funding","Organising Institution/s","Location (city, country)","EXCELERATE subtask","Target audience","Additional ELIXIR Platforms involved","ELIXIR Communities involved","Number of participants","Number of trainers/ facilitators","Url to event page/ agenda","Main organiser"
"1","7389","Introduction to Git & GitHub","ELIXIR-BE","17.06.2022","17.06.2022","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","VIB","Belgium","","Academia/ Research Institution","NA","NA","11","3","https://training.vib.be/all-trainings/introduction-git-github-3","ELIXIR-BE"
"2","7388","UNIX Shell Scripting for Life Scientists","ELIXIR-CH","23.05.2022","24.05.2022","2.00 Days","Training - face to face","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","12","2","https://www.sib.swiss/training/course/20220523_ADVU","ELIXIR-CH"
"3","7387","Gene expression made useful easily: tools and database of Bgee (lectures)","ELIXIR-CH","20.05.2022","20.05.2022","1.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","18","5","https://www.sib.swiss/training/course/20220520_BGEEL","ELIXIR-CH"
"4","7386","First Steps in Parallelization with OpenMP","ELIXIR-CH","19.05.2022","19.05.2022","1.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","8","3","https://www.sib.swiss/training/course/20220519_OPEMP","ELIXIR-CH"
"5","7385","NGS - Quality control, Alignment, Visualisation","ELIXIR-CH","16.05.2022","18.05.2022","3.00 Days","Training - face to face","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","16","2","https://www.sib.swiss/training/course/20220516_NGSQC","ELIXIR-CH"
"6","7384","Spring School: Bioinformatics & Computational approach in Microbiology","ELIXIR-CH","08.05.2022","13.05.2022","6.00 Days","Training - face to face","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","37","15","https://www.sib.swiss/training/course/20220508-MICRO","ELIXIR-CH"
"7","7383","First Steps with Python in Life Sciences","ELIXIR-CH","04.05.2022","06.05.2022","3.00 Days","Training - face to face","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","24","4","https://www.sib.swiss/training/course/20220504_PYTFS","ELIXIR-CH"
"8","7364","First Steps with UNIX for Life Scientists","ELIXIR-CH","02.05.2022","02.05.2022","1.00 Days","Training - face to face","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","26","1","https://www.sib.swiss/training/course/20220502_FSWU","ELIXIR-CH"
"9","7363","Galaxy Introduction for Life Scientists","ELIXIR-CH","27.04.2022","27.04.2022","1.00 Days","Training - face to face","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","14","3","https://www.sib.swiss/training/course/20220427_GALXY","ELIXIR-CH"
"10","7362","Advanced topics in single-cell analysis","ELIXIR-CH","26.04.2022","29.04.2022","4.00 Days","Training - face to face","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","30","8","https://www.sib.swiss/training/course/20220426_ADVSC","ELIXIR-CH"
"11","7361","Docker and Singularity for reproducible research: getting started with containers - streamed","ELIXIR-CH","12.04.2022","12.04.2022","1.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","35","2","https://www.sib.swiss/training/course/20220412_DOCK","ELIXIR-CH"
"12","7360","Applied statistics: data analysis in practice","ELIXIR-CH","05.04.2022","06.04.2022","2.00 Days","Training - face to face","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","16","4","https://www.sib.swiss/training/course/20220405_ASDAP","ELIXIR-CH"
"13","7359","Introduction to R Shiny","ELIXIR-CH","28.03.2022","28.03.2022","1.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","27","2","https://www.sib.swiss/training/course/20220328_SHINY","ELIXIR-CH"
"14","7358","NGS - Genome variant analysis","ELIXIR-CH","24.03.2022","25.03.2022","2.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","30","2","https://www.sib.swiss/training/course/20220324_NGSGV","ELIXIR-CH"
"15","7357","Enrichment Analysis","ELIXIR-CH","17.03.2022","17.03.2022","1.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","26","3","https://www.sib.swiss/training/course/20220317_ENRIC","ELIXIR-CH"
"16","7355","Long-read sequence analysis","ELIXIR-CH","14.03.2022","15.03.2022","2.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","24","3","https://www.sib.swiss/training/course/20220314_LONGR","ELIXIR-CH"
"17","7356","Version Control with Git","ELIXIR-CH","14.03.2022","16.03.2022","3.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","24","3","https://www.sib.swiss/training/course/20220301_GIT","ELIXIR-CH"
"18","7354","ELIXIR-GOBLET Train-the-Trainer","ELIXIR-CH","08.03.2022","11.03.2022","4.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","19","4","https://www.sib.swiss/training/course/20220308_TTTCH","ELIXIR-CH"
"19","7353","First Steps with Python in Life Sciences","ELIXIR-CH","07.03.2022","09.03.2022","3.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","32","3","https://www.sib.swiss/training/course/20220307_PYTFS","ELIXIR-CH"
"20","7352","Mining enzyme data in UniProtKB using Rhea (practicals)","ELIXIR-CH","04.03.2022","04.03.2022","1.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","41","4","https://www.sib.swiss/training/course/20220304_RHEAP","ELIXIR-CH"
"21","7350","Single-cell Transcriptomics","ELIXIR-CH","28.02.2022","02.03.2022","3.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","30","4","https://www.sib.swiss/training/course/20220228_ISCTR","ELIXIR-CH"
"22","7349","First steps with R in Life Sciences","ELIXIR-CH","16.02.2022","17.02.2022","2.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","24","2","https://www.sib.swiss/training/course/20220216_FSWIR","ELIXIR-CH"
"23","7348","Introduction to statistics with R","ELIXIR-CH","07.02.2022","10.02.2022","4.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","25","4","https://www.sib.swiss/training/course/20220207_STATR","ELIXIR-CH"
"24","7366","Bulk RNASeq: from counts to differential expression - online","ELIXIR-BE","04.02.2022","11.02.2022","8.00 Days","Training - elearning","Non-ELIXIR/ Non-EXCELERATE funds","VIB","Belgium","","Academia/ Research Institution","Tools","Galaxy","40","1","https://training.vib.be/all-trainings?date=Past%20trainings&search_api_fulltext=Bulk%20RNASeq%3A%20from%20counts%20to%20differential%20expression","ELIXIR-BE"
"25","7347","Introduction to GPU programming for life sciences","ELIXIR-CH","01.02.2022","01.02.2022","1.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","22","6","https://www.sib.swiss/training/course/20220201_GPU","ELIXIR-CH"
"26","7346","Research Data Management and Data Management Plan","ELIXIR-CH","27.01.2022","28.01.2022","2.00 Days","Training - elearning","CONVERGE, ELIXIR Converge, ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","22","4","https://www.sib.swiss/training/course/20220127_RDMP","ELIXIR-CH"
"27","7345","Immunoinformatics","ELIXIR-CH","25.01.2022","26.01.2022","2.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","22","2","https://www.sib.swiss/training/course/20220125_IMMIN","ELIXIR-CH"
"28","7335","Transcriptomics Analysis: RNA-seq","ELIXIR-CH","19.01.2022","21.01.2022","3.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","26","3","https://www.sib.swiss/training/course/20220119_RNASQ","ELIXIR-CH"
"29","7376","Nextflow for reproducible and automated data analysis - online","ELIXIR-BE","17.01.2022","18.01.2022","2.00 Days","Training - elearning","Non-ELIXIR/ Non-EXCELERATE funds","VIB","Belgium","","Academia/ Research Institution","NA","NA","19","2","https://training.vib.be/all-trainings/nextflow-reproducible-and-automated-data-analysis-online","ELIXIR-BE"
"30","7373","Gentle hands-on introduction to Python programming","ELIXIR-BE","14.01.2022","28.01.2022","15.00 Days","Training - elearning","Non-ELIXIR/ Non-EXCELERATE funds","VIB","Belgium","","Academia/ Research Institution","NA","NA","25","2","https://training.vib.be/all-trainings/gentle-hands-introduction-python-programming-7","ELIXIR-BE"
"31","7334","First Steps with UNIX for Life Scientists","ELIXIR-CH","11.01.2022","11.01.2022","1.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","26","1","https://www.sib.swiss/training/course/20220111_FSWU","ELIXIR-CH"
"32","7370","Docker (and Singularity) for reproducible and automated data analysis - online","ELIXIR-BE","10.01.2022","11.01.2022","2.00 Days","Training - elearning","Non-ELIXIR/ Non-EXCELERATE funds","VIB","Belgium","","Academia/ Research Institution","NA","NA","23","1","https://training.vib.be/all-trainings/docker-and-singularity-reproducible-and-automated-data-analysis-online","ELIXIR-BE"
"33","7333","Ligand-protein docking, and computer-aided drug design","ELIXIR-CH","13.12.2021","15.12.2021","3.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","15","4","https://www.sib.swiss/training/course/20211213_CADD","ELIXIR-CH"
"34","7379","Introduction to the NGS data analysis, online","ELIXIR-BE","09.12.2021","16.12.2021","8.00 Days","Training - elearning","Non-ELIXIR/ Non-EXCELERATE funds","VIB","Belgium","","Academia/ Research Institution","Tools","Galaxy","36","1","https://training.vib.be/all-trainings/introduction-analysis-ngs-data-online-5","ELIXIR-BE"
