user,created,modified,event,when_attend_training,main_attend_reason,how_often_use_before,how_often_use_after,able_to_explain,able_use_now,help_work,attending_led_to,people_share_knowledge,recommend_others
si,,,5768,Over a year,Other,Occasionally (once in a while to monthly),Occasionally (once in a while to monthly),Maybe,Independently,It has not helped yet but I anticipate a future impact,"Submission of my dissertation/ thesis for degree purposes, Submission of a grant application",16-24,"Yes, I already have"
si,,,6630,6 months to a year,To learn something new for my own interests,Never - used other service,Never - use other service,Other,With the help of an expert,It enabled me to complete certain tasks more quickly,"Useful collaboration(s) with other participants/ trainers from the training event, Submission of a grant application",None,"Yes, I already have"
si,,,6630,Over a year,To learn something new for my own interests,Never - used other service,Frequently (weekly to daily),No,Other,It has not helped yet but I anticipate a future impact,"Change in career, Authoring of software",6-15,No
si,,,7315,Less than 6 months,To learn something new to aid me in my current research/ work,Never - unaware of them,Frequently (weekly to daily),Other,Other,Other,Change in career,6-15,Maybe
si,,,5768,Over a year,To learn something new to aid me in my current research/ work,Occasionally (once in a while to monthly),Occasionally (once in a while to monthly),Yes,With the help of an expert,Other,Submission of my dissertation/ thesis for degree purposes,25+,"Yes, I would"
si,,,7086,6 months to a year,Other,Frequently (weekly to daily),Frequently (weekly to daily),No,By using training materials/ notes from the training event,"It has not helped yet but I anticipate a future impact, It enabled me to complete certain tasks more quickly",Useful collaboration(s) with other participants/ trainers from the training event,16-24,"Yes, I already have"
si,,,6877,6 months to a year,Other,Never - unaware of them,Never - use other service,Maybe,With the help of an expert,"It did not help as I do not use the tool(s)/ resource(s) covered in the training event, It has not helped yet but I anticipate a future impact","Change in career, Submission of a grant application",16-24,"Yes, I already have"
si,,,6817,Over a year,To build an existing knowledge to aid me in my current research/ work,Frequently (weekly to daily),Occasionally (once in a while to monthly),Other,Other,It enabled me to complete certain tasks more quickly,"Publication of my work, Authoring of software","None yet, but intend to do so in the future","Yes, I would"
si,,,7365,6 months to a year,To build an existing knowledge to aid me in my current research/ work,Never - unaware of them,Occasionally (once in a while to monthly),Yes,By using training materials/ notes from the training event,It improved my ability to handle data,"Not applicable, Submission of my dissertation/ thesis for degree purposes",1-5,Maybe
si,,,6971,6 months to a year,Other,Occasionally (once in a while to monthly),Never - use other service,Maybe,By using training materials/ notes from the training event,It improved communication with the bioinformatician/ statistician analyzing my data,"Publication of my work, Other","None yet, but intend to do so in the future",Maybe
si,,,7470,6 months to a year,To learn something new for my own interests,Occasionally (once in a while to monthly),Frequently (weekly to daily),Maybe,Other,"It improved my ability to handle data, It did not help as I do not use the tool(s)/ resource(s) covered in the training event","Publication of my work, Submission of my dissertation/ thesis for degree purposes",1-5,Maybe
si,,,6630,Less than 6 months,To learn something new to aid me in my current research/ work,Never - used other service,Frequently (weekly to daily),Maybe,Independently,"It improved communication with the bioinformatician/ statistician analyzing my data, Other","Useful collaboration(s) with other participants/ trainers from the training event, Other",16-24,Maybe
si,,,6451,Over a year,Other,"Never - aware of them, but had not used them",Never - use other service,Other,Other,It improved my ability to handle data,Other,1-5,Maybe
si,,,5768,Over a year,To build an existing knowledge to aid me in my current research/ work,Never - unaware of them,Frequently (weekly to daily),Other,With the help of an expert,It did not help as I do not use the tool(s)/ resource(s) covered in the training event,Change in career,6-15,"Yes, I already have"
si,,,6971,6 months to a year,Other,Never - unaware of them,Never - use other service,Other,Other,It did not help as I do not use the tool(s)/ resource(s) covered in the training event,Publication of my work,16-24,No
si,,,6451,Over a year,To learn something new for my own interests,Never - unaware of them,Never - use other service,No,By using training materials/ notes from the training event,"It improved communication with the bioinformatician/ statistician analyzing my data, It enabled me to complete certain tasks more quickly","Useful collaboration(s) with other participants/ trainers from the training event, Submission of my dissertation/ thesis for degree purposes","None yet, but intend to do so in the future","Yes, I already have"
si,,,6330,Less than 6 months,To learn something new to aid me in my current research/ work,"Never - aware of them, but had not used them",Occasionally (once in a while to monthly),Maybe,Independently,"It has not helped yet but I anticipate a future impact, It did not help as I do not use the tool(s)/ resource(s) covered in the training event","Change in career, Other",6-15,"Yes, I already have"
si,,,6971,Over a year,To learn something new for my own interests,Occasionally (once in a while to monthly),Never - use other service,No,By using training materials/ notes from the training event,It improved communication with the bioinformatician/ statistician analyzing my data,"Submission of a grant application, Other","None yet, but intend to do so in the future",Maybe
